model,property,R2,RMSE,MAPE,RPE_full,RPE_lowVf
baseline,mu1,0.924851268283535,2.400629641007815e-19,3.413976388512612,3.413976388512612,4.143767193534922
baseline,mu2,0.9250767168898129,2.593621902625577e-19,3.5461256538163446,3.5461256538163446,4.845548559822952
baseline,mu3,0.9396967379099438,2.458541312139391e-19,2.6923461410333154,2.6923461410333154,2.8769683370979218
physics_informed,mu1,0.9218415459432202,2.448230571326187e-19,3.3994328337522277,3.3994328337522277,4.143854388597216
physics_informed,mu2,0.9245937479405618,2.601967950674121e-19,3.555789605447153,3.555789605447153,4.831969185000119
physics_informed,mu3,0.9410635643098834,2.4305191160179995e-19,2.658902808461649,2.658902808461649,2.7741431657082836
