model,property,RPE_full,RPE_lowVf
baseline,mu1,3.413976388512612,4.143767193534922
baseline,mu2,3.5461256538163446,4.845548559822952
baseline,mu3,2.6923461410333154,2.8769683370979218
physics_informed,mu1,3.3994328337522277,4.143854388597216
physics_informed,mu2,3.555789605447153,4.831969185000119
physics_informed,mu3,2.658902808461649,2.7741431657082836
