epoch,train_loss,val_loss,model
0,0.1764628288265686,0.1743155462741852,baseline
1,0.1243853184980325,0.1443190503319104,baseline
2,0.1118699136279694,0.1325489619572957,baseline
3,0.1092682412279935,0.130132337073485,baseline
4,0.1023333131728196,0.1210844297607739,baseline
5,0.1002743145930387,0.1282473820646603,baseline
6,0.0969502347651525,0.1173860935568809,baseline
7,0.0935011055042049,0.1255158968170484,baseline
8,0.0964195541734011,0.1431975446740786,baseline
9,0.0931656084336075,0.1207699432571729,baseline
10,0.0960584097478378,0.1575214497248331,baseline
11,0.0923723826791552,0.1148675248424212,baseline
12,0.0874377728696889,0.1243479715188344,baseline
13,0.0851892052140852,0.1161069505214691,baseline
14,0.0856932992485909,0.113846182346344,baseline
15,0.0862582810792784,0.1210452048281828,baseline
16,0.0860862783141028,0.1137894246478875,baseline
17,0.0850440005048932,0.1319125543236732,baseline
18,0.0853755497048203,0.1277340023318926,baseline
19,0.0821715632534221,0.1096142934560775,baseline
20,0.0821291345618989,0.1091058871746063,baseline
21,0.0852943462246066,0.1181830465793609,baseline
22,0.0814800599111571,0.1089039408961931,baseline
23,0.0796609329584412,0.1127972356081008,baseline
24,0.0801520720177486,0.1213658636609713,baseline
25,0.0807854948434656,0.125642129689455,baseline
26,0.0785585946156005,0.1122705435156822,baseline
27,0.0802314381983104,0.1151787899136543,baseline
28,0.0763073657184511,0.1063520081539948,baseline
29,0.0758307893273744,0.1057786650558312,baseline
30,0.0772399819553605,0.1036872985363006,baseline
31,0.0758457179472108,0.1058518835306167,baseline
32,0.0753251925404708,0.1056022072831789,baseline
33,0.0742665163654079,0.1120984862844149,baseline
34,0.0737885362804745,0.1011383249958356,baseline
35,0.0750098758801334,0.1062585336267948,baseline
36,0.0741490523804847,0.1031933052241802,baseline
37,0.0743274507806933,0.1018153015871842,baseline
38,0.0741558375721644,0.1117303973833719,baseline
39,0.0727913370714011,0.1038994122346242,baseline
40,0.0723407785757594,0.1042635849714279,baseline
41,0.0723981469666232,0.1054159138898054,baseline
42,0.0735283696706403,0.1021848120987415,baseline
43,0.0707256248678942,0.1037951246301333,baseline
44,0.0707103744334487,0.1047594670852025,baseline
45,0.070767056522232,0.1098554136753082,baseline
46,0.0665033162971198,0.0994285302857558,baseline
47,0.0663253092690844,0.1110370800395806,baseline
48,0.0665161813744668,0.0989736144443353,baseline
49,0.064864996608788,0.1012170173625151,baseline
50,0.0652173386323157,0.1014925420681635,baseline
51,0.0646538011760597,0.1003482125898202,baseline
52,0.0648691962371004,0.1026541666388511,baseline
53,0.0652814976912541,0.1006762687762578,baseline
54,0.0642978105248426,0.1036784782906373,baseline
55,0.0636069526534106,0.1025322419206301,baseline
56,0.064239234258247,0.1011163055698076,baseline
57,0.0630795194749979,0.1028468938469886,baseline
58,0.0627832120893784,0.1024228123227755,baseline
59,0.0633531835846463,0.1003170148233572,baseline
60,0.0612094529405421,0.097760092139244,baseline
61,0.0609513400422005,0.098236730714639,baseline
62,0.060786724672503,0.0987542241116364,baseline
63,0.0605975305604324,0.0982693463961283,baseline
64,0.0603350738346431,0.1005149562656879,baseline
65,0.0598225353864136,0.0984095435738563,baseline
66,0.0594804034976596,0.098145634651184,baseline
67,0.0599318019416445,0.099073746095101,baseline
68,0.0593759861257104,0.0979971889356772,baseline
69,0.0593097076470577,0.0988042676349481,baseline
70,0.0587380857566126,0.0983722090919812,baseline
71,0.0591010316430125,0.0975924891928831,baseline
72,0.0584913811831282,0.0988450648486614,baseline
73,0.0590617630401261,0.0993834934631983,baseline
74,0.0586423016770475,0.1008093839585781,baseline
75,0.0584428737490274,0.0994179651240507,baseline
76,0.0580242215997153,0.0969383932153383,baseline
77,0.0586353237025266,0.0976083528498808,baseline
78,0.0580022496203107,0.1005913121700286,baseline
79,0.0585516743160698,0.0974164065619309,baseline
80,0.0574004017929358,0.0987499477565288,baseline
81,0.0573997925799268,0.0996733581423759,baseline
82,0.0573854898104578,0.0990622366766134,baseline
83,0.0574783320931753,0.0993557341496149,baseline
84,0.0569991997099866,0.0985748262802759,baseline
85,0.0566172056486815,0.1031992693245411,baseline
86,0.0570954518349822,0.1001394351820151,baseline
87,0.0569442835887602,0.0980497238536675,baseline
88,0.055991975656872,0.1000091589589913,baseline
89,0.0556787121292947,0.0993785226345062,baseline
90,0.0551190302979184,0.100203750193119,baseline
91,0.0552531144347074,0.0975777437190214,baseline
92,0.0553002858781228,0.0984831134875615,baseline
93,0.0546839795985383,0.0979585404793421,baseline
94,0.0550230912873791,0.0979881033400694,baseline
95,0.0549580293468097,0.097608290563027,baseline
96,0.054854029127512,0.0997334178487459,baseline
97,0.0545653375535159,0.1001237073441346,baseline
98,0.0547732476459684,0.0989754717946052,baseline
99,0.0536102559047459,0.0985825691918532,baseline
100,0.0544905090991796,0.0985134250422318,baseline
101,0.0540334162585425,0.0982850443124771,baseline
102,0.0537670064295328,0.097686525752147,baseline
103,0.0536685226315027,0.0987322111328442,baseline
104,0.0531414754846333,0.0988026864131291,baseline
105,0.0534973625528679,0.097489323725303,baseline
106,0.053174373231497,0.0974847754240036,baseline
107,0.0531510129414964,0.0981293962697188,baseline
108,0.0533659145421294,0.0985965521931648,baseline
109,0.0537508884219888,0.0982671667238076,baseline
110,0.0529851065526668,0.0982601540784041,baseline
111,0.0524968260427202,0.098036448041598,baseline
112,0.0524968347987763,0.0979169547259807,baseline
113,0.052768799254975,0.0983080589175224,baseline
114,0.0534382471406125,0.0973559490640958,baseline
115,0.0523662583920314,0.0976022628545761,baseline
116,0.0531270053331913,0.0979880905548731,baseline
0,0.17653506577900857,0.17863039306799572,physics_informed
1,0.12413581462205095,0.14422634208202362,physics_informed
2,0.11173611628050052,0.13127511177460352,physics_informed
3,0.10872313546354095,0.12990713584423066,physics_informed
4,0.10182315721730939,0.11989469263950983,physics_informed
5,0.09968128935997617,0.12799891080458958,physics_informed
6,0.09734175964174091,0.11897974254687627,physics_informed
7,0.09251240056396229,0.1238926280538241,physics_informed
8,0.09537734019725651,0.1415975106159846,physics_informed
9,0.09284684702496333,0.12134578275680542,physics_informed
10,0.09357245926203107,0.14450379157066345,physics_informed
11,0.09154072869981683,0.11664293132225673,physics_informed
12,0.08774769698464395,0.12101505849758784,physics_informed
13,0.08594225465237659,0.11666298374533653,physics_informed
14,0.0860805146803988,0.11451909373203914,physics_informed
15,0.085921825031536,0.11591344679395357,physics_informed
16,0.08551304519913341,0.11332095737258593,physics_informed
17,0.08419636016179446,0.1313683309853077,physics_informed
18,0.08488991520409757,0.1259572335680326,physics_informed
19,0.08117805806925522,0.10828408116102219,physics_informed
