model,property,R2,RMSE,MAPE,RPE_full,RPE_lowVf
baseline,mu1,0.924851268283535,2.400629641007815e-19,3.413976388512612,3.413976388512612,4.143767193534922
baseline,mu2,0.9250767168898127,2.5936219026255773e-19,3.5461256538163446,3.5461256538163446,4.845548559822952
baseline,mu3,0.9396967379099438,2.458541312139391e-19,2.692346141033316,2.692346141033316,2.8769683370979218
physics_informed,mu1,0.9229214806210287,2.431257834806076e-19,3.4838326626888128,3.4838326626888128,4.2478057111985965
physics_informed,mu2,0.9239523374067466,2.613010772818727e-19,3.6114168917192826,3.6114168917192826,5.076436611080921
physics_informed,mu3,0.9371474790940009,2.5099695801527526e-19,2.74703739076927,2.74703739076927,2.9816569441747265
