model,property,RPE_full,RPE_lowVf
baseline,mu1,3.413976388512612,4.143767193534922
baseline,mu2,3.5461256538163446,4.845548559822952
baseline,mu3,2.692346141033316,2.8769683370979218
physics_informed,mu1,3.4838326626888128,4.2478057111985965
physics_informed,mu2,3.6114168917192826,5.076436611080921
physics_informed,mu3,2.74703739076927,2.9816569441747265
