epoch,train_loss,val_loss,model
0,0.3299214750617781,0.2937522428035736,baseline
1,0.2666401949902679,0.3285897518396377,baseline
2,0.2634488480138714,0.3287743736902873,baseline
3,0.2608331665811972,0.3126122673352559,baseline
4,0.2513610053053068,0.2836996713081995,baseline
5,0.2461253143415734,0.281624902844429,baseline
6,0.2428165055045796,0.2942402504285176,baseline
7,0.2450680050802466,0.2769782553513845,baseline
8,0.2396608566950777,0.2780707500378291,baseline
9,0.2386061550528386,0.3025516246159871,baseline
10,0.2350210008028151,0.2732198725938797,baseline
11,0.2336201578925997,0.272809141476949,baseline
12,0.2390063075782384,0.2721567854483922,baseline
13,0.2317291943185224,0.2730673329432805,baseline
14,0.2321845340344571,0.2751167177359263,baseline
15,0.230596680778196,0.2715760929584503,baseline
16,0.2351291835929932,0.2778832029501597,baseline
17,0.2286387771598028,0.2804336653550466,baseline
18,0.2292583053011851,0.2748759655555089,baseline
19,0.2287052882031592,0.2750911257266998,baseline
20,0.2245413885638597,0.2768383375803629,baseline
21,0.2273134260148351,0.2811358329852422,baseline
22,0.2274702147194551,0.2761446597576141,baseline
23,0.2233122270205574,0.273198828180631,baseline
24,0.2249322344728822,0.2658716805378596,baseline
25,0.2243750797992214,0.2748252151807149,baseline
26,0.2231026823887045,0.2719734170039495,baseline
27,0.2219191912018062,0.268716426372528,baseline
28,0.220949103346855,0.2686104775667191,baseline
29,0.2199774070162253,0.2662727987368901,baseline
30,0.2229163548734097,0.2780642543633779,baseline
31,0.2217124018749458,0.273990466594696,baseline
32,0.2188707711961723,0.2677853851318359,baseline
33,0.2194585678477372,0.2696840977668762,baseline
34,0.2193301855406114,0.2735256445010503,baseline
35,0.2176300093890454,0.2774845182498296,baseline
36,0.2122408905863438,0.2657615961233774,baseline
37,0.2123085267301949,0.2640529849131902,baseline
38,0.2105036570682719,0.2674560686349869,baseline
39,0.2104017908951248,0.26784943373998,baseline
40,0.2088184332219774,0.2631454950968424,baseline
41,0.2084212895481181,0.2672970288197199,baseline
42,0.2097944613714907,0.265076022863388,baseline
43,0.2111451480581843,0.2662347000837326,baseline
44,0.2085772632010684,0.2622108021179835,baseline
45,0.2076626560066842,0.2719100826581319,baseline
46,0.2078872563090344,0.2635060586929321,baseline
47,0.2065810453249451,0.262084264477094,baseline
48,0.2048806007443044,0.2657420182625453,baseline
49,0.2053286560040568,0.2635524452527364,baseline
50,0.2035349785101759,0.2665785165230433,baseline
51,0.204019508148468,0.2745268910328547,baseline
52,0.204519304569464,0.2655597472190857,baseline
53,0.2015453787706606,0.268251194636027,baseline
54,0.2033813327675472,0.2662370990117391,baseline
55,0.2020724142757981,0.2647502054770788,baseline
56,0.2003952722442231,0.2624152184327443,baseline
57,0.1993408870461482,0.2617161817153295,baseline
58,0.1997042101622479,0.2620672331253688,baseline
59,0.1958981921404655,0.2663378133376439,baseline
60,0.195451294760781,0.2704092175165812,baseline
61,0.1963613731212934,0.2776889374653498,baseline
